Date,Open,High,Low,Close,Adj Close,Volume
2012-05-18,28.639999,28.639999,28.639999,28.639999,18.974751,0
2012-05-21,29.010000,29.010000,29.010000,29.010000,19.219889,0
2012-05-22,29.030001,29.030001,29.030001,29.030001,19.233141,0
2012-05-23,29.030001,29.030001,29.030001,29.030001,19.233141,0
2012-05-24,29.129999,29.129999,29.129999,29.129999,19.299391,0
2012-05-25,29.020000,29.020000,29.020000,29.020000,19.226521,0
2012-05-29,29.280001,29.280001,29.280001,29.280001,19.398773,0
2012-05-30,28.910000,28.910000,28.910000,28.910000,19.153639,0
2012-05-31,28.930000,28.930000,28.930000,28.930000,19.166885,0
2012-06-01,28.280001,28.280001,28.280001,28.280001,18.736248,0
2012-06-04,28.309999,28.309999,28.309999,28.309999,18.756123,0
2012-06-05,28.400000,28.400000,28.400000,28.400000,18.815752,0
2012-06-06,29.010000,29.010000,29.010000,29.010000,19.219889,0
2012-06-07,29.090000,29.090000,29.090000,29.090000,19.272892,0
2012-06-08,29.260000,29.260000,29.260000,29.260000,19.385523,0
2012-06-11,28.980000,28.980000,28.980000,28.980000,19.200016,0
2012-06-12,29.320000,29.320000,29.320000,29.320000,19.425276,0
2012-06-13,29.150000,29.150000,29.150000,29.150000,19.312645,0
2012-06-14,29.410000,29.410000,29.410000,29.410000,19.484900,0
2012-06-15,29.500000,29.500000,29.500000,29.500000,19.654799,0
2012-06-18,29.549999,29.549999,29.549999,29.549999,19.688108,0
2012-06-19,29.830000,29.830000,29.830000,29.830000,19.874666,0
2012-06-20,29.740000,29.740000,29.740000,29.740000,19.814699,0
2012-06-21,29.230000,29.230000,29.230000,29.230000,19.474909,0
2012-06-22,29.430000,29.430000,29.430000,29.430000,19.608164,0
2012-06-25,29.030001,29.030001,29.030001,29.030001,19.341654,0
2012-06-26,29.129999,29.129999,29.129999,29.129999,19.408279,0
2012-06-27,29.370001,29.370001,29.370001,29.370001,19.568184,0
2012-06-28,29.379999,29.379999,29.379999,29.379999,19.574848,0
2012-06-29,30.090000,30.090000,30.090000,30.090000,20.047897,0
2012-07-02,30.139999,30.139999,30.139999,30.139999,20.081207,0
2012-07-03,30.270000,30.270000,30.270000,30.270000,20.167822,0
2012-07-05,30.139999,30.139999,30.139999,30.139999,20.081207,0
2012-07-06,29.940001,29.940001,29.940001,29.940001,19.947952,0
2012-07-09,29.950001,29.950001,29.950001,29.950001,19.954617,0
2012-07-10,29.780001,29.780001,29.780001,29.780001,19.841352,0
2012-07-11,29.750000,29.750000,29.750000,29.750000,19.821362,0
2012-07-12,29.660000,29.660000,29.660000,29.660000,19.761400,0
2012-07-13,30.120001,30.120001,30.120001,30.120001,20.067884,0
2012-07-16,30.070000,30.070000,30.070000,30.070000,20.034569,0
2012-07-17,30.260000,30.260000,30.260000,30.260000,20.161163,0
2012-07-18,30.450001,30.450001,30.450001,30.450001,20.287750,0
2012-07-19,30.540001,30.540001,30.540001,30.540001,20.347715,0
2012-07-20,30.270000,30.270000,30.270000,30.270000,20.167822,0
2012-07-23,30.000000,30.000000,30.000000,30.000000,19.987930,0
2012-07-24,29.750000,29.750000,29.750000,29.750000,19.821362,0
2012-07-25,29.799999,29.799999,29.799999,29.799999,19.854677,0
2012-07-26,30.290001,30.290001,30.290001,30.290001,20.181150,0
2012-07-27,30.809999,30.809999,30.809999,30.809999,20.527599,0
2012-07-30,30.780001,30.780001,30.780001,30.780001,20.507616,0
2012-07-31,30.639999,30.639999,30.639999,30.639999,20.414345,0
2012-08-01,30.590000,30.590000,30.590000,30.590000,20.381025,0
2012-08-02,30.290001,30.290001,30.290001,30.290001,20.181150,0
2012-08-03,30.790001,30.790001,30.790001,30.790001,20.514278,0
2012-08-06,30.799999,30.799999,30.799999,30.799999,20.520945,0
2012-08-07,30.940001,30.940001,30.940001,30.940001,20.614222,0
2012-08-08,30.920000,30.920000,30.920000,30.920000,20.600897,0
2012-08-09,30.940001,30.940001,30.940001,30.940001,20.614222,0
2012-08-10,31.000000,31.000000,31.000000,31.000000,20.654194,0
2012-08-13,30.950001,30.950001,30.950001,30.950001,20.620880,0
2012-08-14,31.000000,31.000000,31.000000,31.000000,20.654194,0
2012-08-15,31.040001,31.040001,31.040001,31.040001,20.680849,0
2012-08-16,31.219999,31.219999,31.219999,31.219999,20.800770,0
2012-08-17,31.240000,31.240000,31.240000,31.240000,20.814095,0
2012-08-20,31.219999,31.219999,31.219999,31.219999,20.800770,0
2012-08-21,31.100000,31.100000,31.100000,31.100000,20.720819,0
2012-08-22,31.070000,31.070000,31.070000,31.070000,20.700834,0
2012-08-23,30.840000,30.840000,30.840000,30.840000,20.547588,0
2012-08-24,31.049999,31.049999,31.049999,31.049999,20.687510,0
2012-08-27,31.010000,31.010000,31.010000,31.010000,20.660856,0
2012-08-28,31.000000,31.000000,31.000000,31.000000,20.654194,0
2012-08-29,31.010000,31.010000,31.010000,31.010000,20.660856,0
2012-08-30,30.820000,30.820000,30.820000,30.820000,20.534266,0
2012-08-31,30.950001,30.950001,30.950001,30.950001,20.620880,0
2012-09-04,30.879999,30.879999,30.879999,30.879999,20.574244,0
2012-09-05,30.820000,30.820000,30.820000,30.820000,20.534266,0
2012-09-06,31.389999,31.389999,31.389999,31.389999,20.914038,0
2012-09-07,31.469999,31.469999,31.469999,31.469999,20.967340,0
2012-09-10,31.330000,31.330000,31.330000,31.330000,20.874063,0
2012-09-11,31.400000,31.400000,31.400000,31.400000,20.920698,0
2012-09-12,31.459999,31.459999,31.459999,31.459999,20.960678,0
2012-09-13,31.940001,31.940001,31.940001,31.940001,21.280479,0
2012-09-14,31.990000,31.990000,31.990000,31.990000,21.313797,0
2012-09-17,31.879999,31.879999,31.879999,31.879999,21.240509,0
2012-09-18,31.879999,31.879999,31.879999,31.879999,21.240509,0
2012-09-19,31.879999,31.879999,31.879999,31.879999,21.240509,0
2012-09-20,31.830000,31.830000,31.830000,31.830000,21.207193,0
2012-09-21,31.620001,31.620001,31.620001,31.620001,21.177059,0
2012-09-24,31.610001,31.610001,31.610001,31.610001,21.170355,0
2012-09-25,31.370001,31.370001,31.370001,31.370001,21.009623,0
2012-09-26,31.230000,31.230000,31.230000,31.230000,20.915861,0
2012-09-27,31.440001,31.440001,31.440001,31.440001,21.056503,0
2012-09-28,31.309999,31.309999,31.309999,31.309999,20.969437,0
2012-10-01,31.430000,31.430000,31.430000,31.430000,21.049805,0
2012-10-02,31.450001,31.450001,31.450001,31.450001,21.063204,0
2012-10-03,31.559999,31.559999,31.559999,31.559999,21.136875,0
2012-10-04,31.799999,31.799999,31.799999,31.799999,21.297609,0
2012-10-05,31.889999,31.889999,31.889999,31.889999,21.357885,0
2012-10-08,31.809999,31.809999,31.809999,31.809999,21.304306,0
2012-10-09,31.549999,31.549999,31.549999,31.549999,21.130173,0
2012-10-10,31.290001,31.290001,31.290001,31.290001,20.956047,0
2012-10-11,31.290001,31.290001,31.290001,31.290001,20.956047,0
2012-10-12,31.219999,31.219999,31.219999,31.219999,20.909163,0
2012-10-15,31.430000,31.430000,31.430000,31.430000,21.049805,0
2012-10-16,31.690001,31.690001,31.690001,31.690001,21.223938,0
2012-10-17,31.900000,31.900000,31.900000,31.900000,21.364582,0
2012-10-18,31.950001,31.950001,31.950001,31.950001,21.398071,0
2012-10-19,31.530001,31.530001,31.530001,31.530001,21.116785,0
2012-10-22,31.480000,31.480000,31.480000,31.480000,21.083296,0
2012-10-23,31.030001,31.030001,31.030001,31.030001,20.781914,0
2012-10-24,30.969999,30.969999,30.969999,30.969999,20.741726,0
2012-10-25,31.049999,31.049999,31.049999,31.049999,20.795307,0
2012-10-26,31.049999,31.049999,31.049999,31.049999,20.795307,0
2012-10-31,31.090000,31.090000,31.090000,31.090000,20.822104,0
2012-11-01,31.440001,31.440001,31.440001,31.440001,21.056503,0
2012-11-02,31.150000,31.150000,31.150000,31.150000,20.862282,0
2012-11-05,31.170000,31.170000,31.170000,31.170000,20.875675,0
2012-11-06,31.430000,31.430000,31.430000,31.430000,21.049805,0
2012-11-07,30.780001,30.780001,30.780001,30.780001,20.614477,0
2012-11-08,30.440001,30.440001,30.440001,30.440001,20.386765,0
2012-11-09,30.480000,30.480000,30.480000,30.480000,20.413559,0
2012-11-12,30.520000,30.520000,30.520000,30.520000,20.440344,0
2012-11-13,30.459999,30.459999,30.459999,30.459999,20.400166,0
2012-11-14,29.990000,29.990000,29.990000,29.990000,20.085388,0
2012-11-15,29.910000,29.910000,29.910000,29.910000,20.031805,0
2012-11-16,30.020000,30.020000,30.020000,30.020000,20.105478,0
2012-11-19,30.510000,30.510000,30.510000,30.510000,20.433655,0
2012-11-20,30.559999,30.559999,30.559999,30.559999,20.467134,0
2012-11-21,30.639999,30.639999,30.639999,30.639999,20.520712,0
2012-11-23,31.020000,31.020000,31.020000,31.020000,20.775213,0
2012-11-26,30.959999,30.959999,30.959999,30.959999,20.735029,0
2012-11-27,30.809999,30.809999,30.809999,30.809999,20.634569,0
2012-11-28,31.090000,31.090000,31.090000,31.090000,20.822104,0
2012-11-29,31.190001,31.190001,31.190001,31.190001,20.889069,0
2012-11-30,31.219999,31.219999,31.219999,31.219999,20.909163,0
2012-12-03,31.070000,31.070000,31.070000,31.070000,20.808702,0
2012-12-04,30.990000,30.990000,30.990000,30.990000,20.755121,0
2012-12-05,31.120001,31.120001,31.120001,31.120001,20.842190,0
2012-12-06,31.190001,31.190001,31.190001,31.190001,20.889069,0
2012-12-07,31.330000,31.330000,31.330000,31.330000,20.982838,0
2012-12-10,31.320000,31.320000,31.320000,31.320000,20.976139,0
2012-12-11,31.490000,31.490000,31.490000,31.490000,21.089991,0
2012-12-12,31.520000,31.520000,31.520000,31.520000,21.110086,0
